ip,port,protocol,country,anonymity,latency_ms,speed_kbps,score,last_seen
13.232.150.130,1080,socks5,IN,elite,1665,0.1,42.8,2026-09-24T07:07:54.701725+00:00
172.234.38.154,3128,http,US,elite,621,0.2,42.0,2026-09-24T07:07:54.689850+00:00
190.97.241.106,999,http,VE,elite,2687,0.1,41.8,2026-09-24T07:07:54.690991+00:00
98.130.11.240,28483,http,IN,anonymous,2237,,41.4,2026-09-24T07:07:54.702877+00:00
45.32.47.208,1080,socks5,JP,elite,1346,0.1,39.5,2026-09-24T07:07:54.699345+00:00
54.20.46.218,1080,http,BR,elite,4065,0.0,39.5,2026-09-24T07:07:54.702781+00:00
57.128.231.218,1203,socks4,PL,elite,951,0.1,39.3,2026-09-24T07:07:54.679869+00:00
163.227.146.38,8080,http,ID,anonymous,1091,,39.2,2026-09-24T07:07:54.684416+00:00
45.74.31.40,11012,socks5,NL,anonymous,2133,,39.2,2026-09-24T07:07:54.674529+00:00
77.225.198.220,4673,socks4,ES,anonymous,2571,0.1,38.9,2026-09-24T07:07:54.667360+00:00
45.74.31.22,16994,socks5,NL,elite,2642,,38.9,2026-09-24T07:07:54.694416+00:00
154.201.126.44,8080,http,IN,elite,2654,,38.5,2026-09-24T07:07:54.692292+00:00
113.249.111.67,1080,socks5,CN,elite,2409,,38.0,2026-09-24T07:07:54.695380+00:00
45.74.31.40,9581,socks5,NL,anonymous,2391,,37.7,2026-09-24T07:07:54.851853+00:00
45.74.31.23,16714,socks5,NL,elite,5948,0.0,37.2,2026-09-24T07:07:54.675169+00:00
47.243.92.199,3128,http,HK,anonymous,2351,0.1,37.1,2026-09-24T07:07:54.689973+00:00
45.74.31.22,22040,socks5,NL,elite,5823,0.0,36.6,2026-09-24T07:07:54.674586+00:00
103.118.85.75,1080,socks5,BD,elite,2986,,36.1,2026-09-24T07:07:54.701581+00:00
64.227.186.105,1080,socks5,IN,anonymous,1478,,35.8,2026-09-24T07:07:54.694213+00:00
193.233.223.47,1080,socks5,RU,elite,904,0.2,35.3,2026-09-24T07:07:54.700530+00:00
45.74.31.42,5098,socks5,NL,anonymous,2453,,34.1,2026-09-24T07:07:54.700833+00:00
197.224.185.3,3128,http,MU,elite,1849,,33.9,2026-09-24T07:07:54.702718+00:00
45.74.31.23,9374,socks5,NL,elite,7050,0.0,33.3,2026-09-24T07:07:54.852989+00:00
45.136.197.195,5555,socks5,HK,elite,1307,0.1,32.6,2026-09-24T07:07:54.695005+00:00
43.135.145.201,10808,http,US,elite,411,0.3,32.4,2026-09-24T07:07:54.690934+00:00
123.58.219.171,10808,socks5,HK,anonymous,1624,0.1,32.3,2026-09-24T07:07:54.699438+00:00
103.253.208.14,8080,http,IN,elite,2220,,32.2,2026-09-24T07:07:54.702565+00:00
5.129.249.123,61925,http,RU,elite,1447,,31.4,2026-09-24T07:07:54.683701+00:00
